filename,folder,full path,detection class,detection class name,detection box,detection score
1.nav-outlander-20my.png,cars,C:\projects\Object-Detection-Experiments\images\cars\1.nav-outlander-20my.png,1,car,[0.05331528 0.05502433 0.8660464  0.93697333],0.951126217842102
1.nav-outlander-20my.png,cars,C:\projects\Object-Detection-Experiments\images\cars\1.nav-outlander-20my.png,1,car,[0.46115443 0.3093599  0.8614466  0.47624588],0.4607619047164917
1.nav-outlander-20my.png,cars,C:\projects\Object-Detection-Experiments\images\cars\1.nav-outlander-20my.png,1,car,[0.45664018 0.06501663 0.7486277  0.16370888],0.3480241894721985
10.CAC80NIC141A021001.png,cars,C:\projects\Object-Detection-Experiments\images\cars\10.CAC80NIC141A021001.png,1,car,[0.13830188 0.02327687 0.83717    0.98744434],0.8997381329536438
10.CAC80NIC141A021001.png,cars,C:\projects\Object-Detection-Experiments\images\cars\10.CAC80NIC141A021001.png,1,car,[0.49482095 0.4885271  0.8258679  0.65694445],0.45206132531166077
100.volkswagengolfcutout2019-bestbuys.jpg,cars,C:\projects\Object-Detection-Experiments\images\cars\100.volkswagengolfcutout2019-bestbuys.jpg,1,car,[0.15737164 0.00976583 0.83829063 0.963374  ],0.8692331314086914
100.volkswagengolfcutout2019-bestbuys.jpg,cars,C:\projects\Object-Detection-Experiments\images\cars\100.volkswagengolfcutout2019-bestbuys.jpg,1,car,[0.4910739  0.3694469  0.8230943  0.53120834],0.5388414263725281
100.volkswagengolfcutout2019-bestbuys.jpg,cars,C:\projects\Object-Detection-Experiments\images\cars\100.volkswagengolfcutout2019-bestbuys.jpg,1,car,[0.5079706  0.01131676 0.78825974 0.12958384],0.3523659110069275
101.bronco-front-v2-1-1565376912.jpg,cars,C:\projects\Object-Detection-Experiments\images\cars\101.bronco-front-v2-1-1565376912.jpg,1,car,[0.20601103 0.11133018 0.8222792  0.8018676 ],0.8621684908866882
101.bronco-front-v2-1-1565376912.jpg,cars,C:\projects\Object-Detection-Experiments\images\cars\101.bronco-front-v2-1-1565376912.jpg,1,car,[0.5307078  0.33659527 0.7986708  0.47427455],0.44338107109069824
101.bronco-front-v2-1-1565376912.jpg,cars,C:\projects\Object-Detection-Experiments\images\cars\101.bronco-front-v2-1-1565376912.jpg,1,car,[0.49575233 0.6499313  0.7744262  0.76276207],0.42895063757896423
101.bronco-front-v2-1-1565376912.jpg,cars,C:\projects\Object-Detection-Experiments\images\cars\101.bronco-front-v2-1-1565376912.jpg,1,car,[0.5562717  0.12316304 0.7624985  0.2570274 ],0.321361780166626
102.9abe32f69108dd43e56464f4e74727ff.png,cars,C:\projects\Object-Detection-Experiments\images\cars\102.9abe32f69108dd43e56464f4e74727ff.png,1,car,[0.28187266 0.10161832 0.8675107  0.91290474],0.961397647857666
102.9abe32f69108dd43e56464f4e74727ff.png,cars,C:\projects\Object-Detection-Experiments\images\cars\102.9abe32f69108dd43e56464f4e74727ff.png,1,car,[0.5863014  0.40108773 0.8633897  0.52170897],0.38827550411224365
105.module-3-img-94a26afce7219b59ddd584c74fba7d35.png,cars,C:\projects\Object-Detection-Experiments\images\cars\105.module-3-img-94a26afce7219b59ddd584c74fba7d35.png,1,car,[0.25889412 0.07081449 0.8563367  0.7316166 ],0.9297504425048828
105.module-3-img-94a26afce7219b59ddd584c74fba7d35.png,cars,C:\projects\Object-Detection-Experiments\images\cars\105.module-3-img-94a26afce7219b59ddd584c74fba7d35.png,1,car,[0.5653466  0.32570064 0.8314563  0.44097972],0.3346850872039795
106.WEBUYCARS.jpg,cars,C:\projects\Object-Detection-Experiments\images\cars\106.WEBUYCARS.jpg,1,car,[0.19834334 0.02544835 0.98057157 0.7844902 ],0.915307879447937
106.WEBUYCARS.jpg,cars,C:\projects\Object-Detection-Experiments\images\cars\106.WEBUYCARS.jpg,1,car,[0.6300905  0.32946503 0.9821563  0.44377923],0.3853963613510132
106.WEBUYCARS.jpg,cars,C:\projects\Object-Detection-Experiments\images\cars\106.WEBUYCARS.jpg,1,car,[0.6025214 0.6671431 0.8837141 0.7603115],0.32321956753730774
107.small.jpg,cars,C:\projects\Object-Detection-Experiments\images\cars\107.small.jpg,1,car,[0.42335466 0.46892866 0.6086589  0.96712065],0.8514614701271057
107.small.jpg,cars,C:\projects\Object-Detection-Experiments\images\cars\107.small.jpg,1,car,[0.43031776 0.02972452 0.61376345 0.4429536 ],0.7896048426628113
108.txt-img-motor.jpg,cars,C:\projects\Object-Detection-Experiments\images\cars\108.txt-img-motor.jpg,1,car,[0.3321184  0.10294342 0.8278519  0.9259553 ],0.46937450766563416
11.CCAR_800x400.png,cars,C:\projects\Object-Detection-Experiments\images\cars\11.CCAR_800x400.png,1,car,[0.03250238 0.07642677 0.9178047  0.8994098 ],0.9342074990272522
11.CCAR_800x400.png,cars,C:\projects\Object-Detection-Experiments\images\cars\11.CCAR_800x400.png,1,car,[0.52656114 0.4880996  0.8953432  0.63039255],0.41755932569503784
11.CCAR_800x400.png,cars,C:\projects\Object-Detection-Experiments\images\cars\11.CCAR_800x400.png,1,car,[0.5152726  0.77461    0.81007195 0.8639776 ],0.34620100259780884
110.2019-honda-insight-ex-cvt-angular-front-exterior-view_100667765_s.jpg,cars,C:\projects\Object-Detection-Experiments\images\cars\110.2019-honda-insight-ex-cvt-angular-front-exterior-view_100667765_s.jpg,1,car,[0.15061605 0.02345163 0.7844206  0.9992493 ],0.9142088294029236
110.2019-honda-insight-ex-cvt-angular-front-exterior-view_100667765_s.jpg,cars,C:\projects\Object-Detection-Experiments\images\cars\110.2019-honda-insight-ex-cvt-angular-front-exterior-view_100667765_s.jpg,1,car,[0.52853626 0.52427447 0.7852388  0.65002656],0.31241679191589355
111.mazda-2-small-car.png,cars,C:\projects\Object-Detection-Experiments\images\cars\111.mazda-2-small-car.png,1,car,[0.03246427 0.05127385 0.9590235  0.9725479 ],0.9278473258018494
111.mazda-2-small-car.png,cars,C:\projects\Object-Detection-Experiments\images\cars\111.mazda-2-small-car.png,1,car,[0.6043184  0.44309065 0.9421997  0.60040665],0.4907435476779938
111.mazda-2-small-car.png,cars,C:\projects\Object-Detection-Experiments\images\cars\111.mazda-2-small-car.png,1,car,[0.48034033 0.853155   0.80434895 0.9483508 ],0.3419298529624939
112.1200px-BlueSG_cars_at_Ang_Mo_Kio_CC_station.jpg,cars,C:\projects\Object-Detection-Experiments\images\cars\112.1200px-BlueSG_cars_at_Ang_Mo_Kio_CC_station.jpg,1,car,[0.22193223 0.5435735  0.7070165  0.9628552 ],0.9373033046722412
112.1200px-BlueSG_cars_at_Ang_Mo_Kio_CC_station.jpg,cars,C:\projects\Object-Detection-Experiments\images\cars\112.1200px-BlueSG_cars_at_Ang_Mo_Kio_CC_station.jpg,1,car,[0.22675408 0.05689684 0.692005   0.4590663 ],0.9279824495315552
113.hero-1950w.png,cars,C:\projects\Object-Detection-Experiments\images\cars\113.hero-1950w.png,1,car,[0.73455685 0.33857876 0.9538626  0.5009443 ],0.6526236534118652
113.hero-1950w.png,cars,C:\projects\Object-Detection-Experiments\images\cars\113.hero-1950w.png,1,car,[0.68781435 0.5199733  0.8941872  0.66013   ],0.5145752429962158
113.hero-1950w.png,cars,C:\projects\Object-Detection-Experiments\images\cars\113.hero-1950w.png,1,car,[0.74605536 0.6807722  0.92852104 0.8163979 ],0.4574525058269501
113.hero-1950w.png,cars,C:\projects\Object-Detection-Experiments\images\cars\113.hero-1950w.png,1,car,[0.40765837 0.33694506 0.60559785 0.48660064],0.4404296576976776
113.hero-1950w.png,cars,C:\projects\Object-Detection-Experiments\images\cars\113.hero-1950w.png,1,car,[0.07600675 0.8501322  0.30866876 0.96584785],0.39240407943725586
113.hero-1950w.png,cars,C:\projects\Object-Detection-Experiments\images\cars\113.hero-1950w.png,1,car,[0.37840664 0.5128671  0.6156745  0.6459887 ],0.3813706636428833
113.hero-1950w.png,cars,C:\projects\Object-Detection-Experiments\images\cars\113.hero-1950w.png,1,car,[0.73222405 0.01985661 0.9025646  0.16059306],0.3806126117706299
113.hero-1950w.png,cars,C:\projects\Object-Detection-Experiments\images\cars\113.hero-1950w.png,1,car,[0.09407876 0.5172218  0.28848445 0.65946317],0.337785005569458
115.land-rover-discovery-sport.jpg,cars,C:\projects\Object-Detection-Experiments\images\cars\115.land-rover-discovery-sport.jpg,1,car,[0.12828955 0.06257164 0.88240147 0.9065645 ],0.9383707642555237
115.land-rover-discovery-sport.jpg,cars,C:\projects\Object-Detection-Experiments\images\cars\115.land-rover-discovery-sport.jpg,1,car,[0.5325363  0.38718566 0.8822321  0.5802165 ],0.35068851709365845
116.ms_tw.jpg,cars,C:\projects\Object-Detection-Experiments\images\cars\116.ms_tw.jpg,1,car,[0.11921263 0.14222807 0.9452454  0.88575786],0.940290093421936
116.ms_tw.jpg,cars,C:\projects\Object-Detection-Experiments\images\cars\116.ms_tw.jpg,1,car,[0.5670252 0.5139624 0.924435  0.6265638],0.4461578130722046
116.ms_tw.jpg,cars,C:\projects\Object-Detection-Experiments\images\cars\116.ms_tw.jpg,1,car,[0.40499794 0.8044398  0.6965958  0.868932  ],0.32143402099609375
118.valuations_en.png,cars,C:\projects\Object-Detection-Experiments\images\cars\118.valuations_en.png,1,car,[0.40310234 0.302657   0.83973974 0.74147034],0.9698447585105896
119.mitsubishi-2019-eclipse-cross-d.jpg,cars,C:\projects\Object-Detection-Experiments\images\cars\119.mitsubishi-2019-eclipse-cross-d.jpg,1,car,[0.18262711 0.14167717 0.8964946  0.86264837],0.9294558763504028
